epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
83,76703.8,2.12668,2.86061,1.83142,1.2203,0,0.43671,0.45309,0.42449,0.19359,0.42059,0.39626,0.38231,0.15771,2.13542,2.75849,1.9346,1.29826,0,0.000313729,0.000313729,0.000313729
84,77655.2,2.09792,2.86598,1.82613,1.22029,0,0.4077,0.44842,0.41698,0.19135,0.37201,0.41895,0.37373,0.15668,2.14066,2.74609,1.92959,1.30309,0,0.000297226,0.000297226,0.000297226
85,78599.6,2.07959,2.85583,1.8052,1.20331,0,0.37582,0.45789,0.41841,0.19105,0.36664,0.40738,0.37184,0.15827,2.1467,2.77001,1.95758,1.2907,0,0.000280723,0.000280723,0.000280723
86,79563.5,2.05315,2.84001,1.80541,1.21117,0,0.42429,0.45842,0.42757,0.19488,0.38316,0.40798,0.37846,0.15863,2.12457,2.75278,1.95043,1.29299,0,0.00026422,0.00026422,0.00026422
87,80497.5,2.06493,2.8356,1.765,1.21315,0,0.42118,0.48689,0.43113,0.19777,0.38956,0.43424,0.3827,0.16159,2.14034,2.76322,1.93859,1.29973,0,0.000247716,0.000247716,0.000247716
88,81435.5,2.10073,2.85616,1.84619,1.22382,0,0.41805,0.45755,0.42515,0.1945,0.38865,0.41142,0.37223,0.15827,2.13808,2.76279,1.93243,1.29156,0,0.000231213,0.000231213,0.000231213
89,82366.2,2.06507,2.79867,1.78972,1.21482,0,0.40251,0.45,0.41399,0.18819,0.3848,0.40138,0.36308,0.15384,2.13701,2.76477,1.94097,1.29072,0,0.00021471,0.00021471,0.00021471
90,83238.8,2.06541,2.80161,1.80528,1.21173,0,0.44216,0.45839,0.43306,0.19919,0.40896,0.41907,0.39207,0.16568,2.11611,2.7462,1.92792,1.28824,0,0.000198206,0.000198206,0.000198206
91,84081.3,1.97951,2.63706,1.81818,1.22794,0,0.42405,0.45277,0.41503,0.19051,0.39812,0.40854,0.36645,0.15524,2.15435,2.79367,1.9941,1.30516,0,0.000181703,0.000181703,0.000181703
92,84920.4,1.95589,2.60383,1.73877,1.21169,0,0.4429,0.4625,0.42922,0.20046,0.404,0.42659,0.37362,0.15943,2.14012,2.76368,1.94992,1.29945,0,0.0001652,0.0001652,0.0001652
93,85764.2,1.94825,2.60552,1.72747,1.20859,0,0.43619,0.44312,0.41593,0.19352,0.41437,0.40524,0.37725,0.16131,2.12514,2.75282,1.94388,1.2898,0,0.000148696,0.000148696,0.000148696
94,86607.9,1.96417,2.6403,1.73807,1.1985,0,0.41413,0.46917,0.4238,0.19466,0.38783,0.41236,0.37338,0.1628,2.12229,2.74581,1.92852,1.28013,0,0.000132193,0.000132193,0.000132193
95,87459.3,1.97591,2.59462,1.72433,1.20628,0,0.42046,0.4587,0.42442,0.19723,0.40268,0.40506,0.37505,0.16285,2.12659,2.74938,1.93311,1.28748,0,0.00011569,0.00011569,0.00011569
96,88310.6,1.93567,2.61297,1.70335,1.19742,0,0.42616,0.46794,0.42867,0.19657,0.3846,0.41143,0.37358,0.16081,2.136,2.73879,1.92888,1.29592,0,9.91865e-05,9.91865e-05,9.91865e-05
97,89159.9,1.92995,2.57338,1.67692,1.20052,0,0.41309,0.48433,0.42791,0.19699,0.37518,0.43729,0.37723,0.16451,2.12306,2.74138,1.92522,1.28704,0,8.26832e-05,8.26832e-05,8.26832e-05
98,90011.7,1.94186,2.58981,1.70452,1.20389,0,0.42933,0.47556,0.4333,0.20211,0.39681,0.42402,0.38758,0.1689,2.12188,2.73648,1.91188,1.28799,0,6.61799e-05,6.61799e-05,6.61799e-05
99,90859.4,1.93414,2.59204,1.70784,1.19998,0,0.42537,0.47026,0.429,0.19812,0.38293,0.4195,0.37369,0.16684,2.1194,2.73101,1.91413,1.28198,0,4.96766e-05,4.96766e-05,4.96766e-05
100,91705.7,1.91251,2.60216,1.69867,1.19268,0,0.41532,0.48141,0.43615,0.19948,0.3783,0.41781,0.37583,0.16638,2.12037,2.73741,1.91097,1.2853,0,3.31733e-05,3.31733e-05,3.31733e-05
